date,n_obs,Rn_MJ_m2_d,G_MJ_m2_d,E_mm_d,Ta_C,RH,u_ms,P_raw,P_kPa,VPD_kPa,Delta_kPa_C,gamma_kPa_C,RnG_MJ_m2_d,Epa_mm_d,Ep0_eq_mm_d,Ep0_pt_mm_d,x_eq,x_pt,y
2019-06-01 00:00:00+00:00,384,283.750992,4.209336,42.58420701268571,1.5,53.8084375,0.435,96.879589375,96.879589375,0.314466149750093,0.0489231665857214,0.064424926934375,279.541656,49.48233507378053,49.24711443259425,62.05136418506876,0.995246371440726,1.254010428015315,0.8605941281710052
2019-06-02 00:00:00+00:00,168,51.69312000000001,1.9474128,7.503812280759666,1.7142857142857142,86.59642857142858,0.3446428571428571,96.44258285714284,96.44258285714284,0.0926645942935873,0.0495926746263417,0.0641343176,49.745707200000005,8.909542234340284,8.854081246324904,11.15614237036938,0.993775102406315,1.2521566290319568,0.8422219776721551
2019-06-03 00:00:00+00:00,408,307.587456,2.211264,51.367426344156485,1.5,46.41529411764706,0.7302941176470588,96.83668117647058,96.83668117647058,0.3647977083328733,0.0489231665857214,0.0643963929823529,305.37619199999995,54.28680182478327,53.81195523157018,67.80306359177843,0.991253001148498,1.2489787814471076,0.9462231079655532
2019-06-04 00:00:00+00:00,408,284.524704,1.0421424,36.654694875498286,1.5,45.31264705882353,0.5776470588235294,97.45913823529412,97.45913823529412,0.3723043860972702,0.0489231665857214,0.0648103269264706,283.4825616,50.15405230048539,49.77215488961685,62.712915160917234,0.9923855123693596,1.2504057455853932,0.7308421392530937
2019-06-06 00:00:00+00:00,420,324.8802,7.871652,72.60097070262884,1.5,76.47035714285714,0.8708571428571429,96.6378542857143,96.6378542857143,0.1601867482677272,0.0489231665857214,0.0642641731,317.008548,56.16432213231675,55.92700920894613,70.46803160327212,0.9957746677185644,1.2546760813253912,1.2926528434116809
2019-06-07 00:00:00+00:00,420,385.26408,4.595994,73.73561673561959,1.5,46.8375,0.6324285714285715,97.23910928571428,97.23910928571428,0.3619233855985997,0.0489231665857214,0.064664007675,380.668086,67.32195833883208,66.92149706649114,84.32108630377884,0.9940515504566072,1.2525049535753252,1.0952684466561045
2019-06-08 00:00:00+00:00,528,444.161016,5.9672484,82.28636033905356,1.5,40.610625,0.7147727272727272,98.00332272727272,98.00332272727272,0.4043151407210879,0.0489231665857214,0.0651722096136363,438.1937676,77.20194734920115,76.69139306056371,96.63115525631028,0.9933867692957524,1.251667329312648,1.0658586106235703
2019-06-09 00:00:00+00:00,450,368.7957,3.984516,64.86252633409106,1.5,47.636,0.5726666666666667,98.49754466666668,98.49754466666668,0.3564873014528111,0.0489231665857214,0.0655008672033333,364.811184,64.0224882812911,63.66479794017659,80.2176454046225,0.99441305155865,1.252960444963899,1.0131209841315312
2019-06-10 00:00:00+00:00,480,333.35982,4.149702,74.42956000470309,1.5,50.994375,0.7230000000000001,97.87874,97.87874,0.3336239212485375,0.0489231665857214,0.0650893621,329.210118,58.08769236247693,57.65926092896236,72.65066877049257,0.9926244025870216,1.2507067472596471,1.2813309838554126
2019-06-11 00:00:00+00:00,330,256.50054,4.579128,49.262519619814825,1.5,65.25863636363636,1.4410909090909092,97.08241454545454,97.08241454545454,0.2365146851179836,0.0489231665857214,0.0645598056727272,251.921412,44.94649251084628,44.328481524433045,55.85388672078564,0.9862500731004962,1.2426750921066252,1.0960258936317897
2019-06-12 00:00:00+00:00,600,484.19046,3.820608,104.2576121196186,1.5,53.63325,0.6417999999999999,97.9518915,97.9518915,0.3156588034649212,0.0489231665857214,0.0651380078475,480.369852,84.44382610953203,84.09813779149347,105.96365361728178,0.9959062925738328,1.2548419286430297,1.2346386577082158
2019-06-13 00:00:00+00:00,210,37.16469,0.422766,8.072910306938848,1.9285714285714288,90.01571428571428,0.9235714285714284,97.27394714285715,97.27394714285715,0.0700939235830379,0.0502700399836241,0.06468717485,36.741924,6.674586674878443,6.5579606671834885,8.263030440651196,0.9825268569612098,1.2379838397711245,1.2094996589561662
2019-06-14 00:00:00+00:00,330,144.83772000000002,1.386,35.03384926869431,1.5,74.53590909090909,1.0118181818181815,96.80087727272726,96.80087727272726,0.1733562190079229,0.0489231665857214,0.0643725833863636,143.45172000000002,25.600346168818596,25.283699273433875,31.857461084526683,0.9876311479033671,1.2444152463582427,1.3684912320195808
2019-06-15 00:00:00+00:00,462,408.399516,3.1261824,82.4362770268336,1.5,55.74922077922078,1.0409090909090908,97.47039909090908,97.47039909090908,0.3012535496065945,0.0489231665857214,0.0648178153954545,405.2733336,71.70819626726545,71.1507578477822,89.64995488820557,0.9922262942243644,1.2502051307226991,1.1496074551866182
2019-06-16 00:00:00+00:00,144,22.268736,1.3860648,2.8278498788020427,2.25,98.5375,0.614375,97.09418333333332,97.09418333333332,0.0105061109380431,0.0513009858825108,0.0645676319166666,20.8826712,3.78405979199272,3.7738084377286847,4.754998631538143,0.9972909111304932,1.2565865480244216,0.7473058128695349
2019-06-17 00:00:00+00:00,180,154.67306399999998,1.8518832,43.99726516306279,1.2,79.65466666666667,0.6755,97.38176933333332,97.38176933333332,0.1355504688051075,0.0479989129246129,0.0647588766066666,152.82118079999998,26.71429470103759,26.5523103004814,33.45591097860657,0.9939364148532096,1.2523598827150444,1.6469558959141797
2019-06-18 00:00:00+00:00,36,5.090255999999999,0.3682296,0.1390058383852376,3.0,98.33,0.6175,97.22220666666666,97.22220666666666,0.0126546977126326,0.0537773895257611,0.0646527674333333,4.722026399999999,0.8887453055027034,0.8751847436326831,1.1027327769771806,0.984741903235877,1.240774798077205,0.1564068327839002
