site,x_mid,n,y_med,y_mean,y_q25,y_q75,xdef,start,end
HARV,0.844805470318554,41,0.5012335478891189,0.588625809450183,0.34222901392792454,0.871368767740583,eq,2018-09-01,2024-06-30
HARV,0.9183788805472218,40,0.30821313832284647,0.3500005538365187,0.25433951188245474,0.3960257610733936,eq,2018-09-01,2024-06-30
HARV,0.9453330423340884,40,0.44080873247496555,0.5035965757868587,0.2565377248555092,0.6448743690966672,eq,2018-09-01,2024-06-30
HARV,0.9647393016208057,40,0.6696473991234351,0.7050171941860846,0.5081288444769356,0.8536876154579851,eq,2018-09-01,2024-06-30
HARV,0.9755818282660467,41,0.9467851478537476,0.8510172796276299,0.701914898464177,1.0378696707359698,eq,2018-09-01,2024-06-30
HARV,0.9821886034663398,40,0.8192864151764727,0.7779382377443056,0.6313124778407658,0.9413247879019278,eq,2018-09-01,2024-06-30
HARV,0.9868537243089913,40,0.8719142748199449,0.8575147458659538,0.7301126223082248,1.0195117221248626,eq,2018-09-01,2024-06-30
HARV,0.9895942559808003,40,0.9234661052527697,0.9054808962881215,0.7927822303818407,1.0531463030695143,eq,2018-09-01,2024-06-30
HARV,0.9920150287352149,40,0.8713202919216807,0.8481661684558709,0.7195224317019976,0.9899996151932704,eq,2018-09-01,2024-06-30
HARV,0.9948556331051956,41,0.7227156720653832,0.7329326305327356,0.6292189351697414,0.8710312588366362,eq,2018-09-01,2024-06-30
OSBS,0.8178247334393871,64,0.5210822500156251,0.5825019249586616,0.445734027361462,0.6864509412529645,eq,2018-09-01,2024-06-30
OSBS,0.878995771282549,64,0.5929206653711954,0.5907183724289302,0.4597586557846108,0.7005949832452792,eq,2018-09-01,2024-06-30
OSBS,0.905437074708044,63,0.5542560031980769,0.5654527858035535,0.43970969508530167,0.6612404787882479,eq,2018-09-01,2024-06-30
OSBS,0.9249825300087899,64,0.5412719567811761,0.5758649324068155,0.44027201498423363,0.6833170820781834,eq,2018-09-01,2024-06-30
OSBS,0.9389371262459687,63,0.6293793363130105,0.628065551948093,0.4714685578274751,0.7325276359907805,eq,2018-09-01,2024-06-30
OSBS,0.9498803395933149,64,0.6076057295846521,0.6175413736819182,0.5063310886780672,0.6863640386684641,eq,2018-09-01,2024-06-30
OSBS,0.9577427441208519,63,0.5966925855996363,0.6122296565872203,0.5398639984381132,0.6979412655150934,eq,2018-09-01,2024-06-30
OSBS,0.9634018530234258,64,0.6197770749746199,0.6497439598939307,0.5306785195959667,0.722908348876531,eq,2018-09-01,2024-06-30
OSBS,0.9683828308838335,63,0.6192230391935246,0.62673348181067,0.5177603054485802,0.7121884553133717,eq,2018-09-01,2024-06-30
OSBS,0.9749163744628564,64,0.6721702174496936,0.6926269505352463,0.575229863143,0.8073251888420754,eq,2018-09-01,2024-06-30
KONZ,0.3415650184222596,114,0.26637058326705637,0.3239928649031091,0.17444297371071701,0.4257296931191369,eq,2018-09-01,2024-06-30
KONZ,0.5528284188061237,114,0.2474219698962082,0.3165930998483003,0.1709828399901656,0.4200804557808887,eq,2018-09-01,2024-06-30
KONZ,0.6630484983820528,114,0.2838505500465162,0.3633339036783516,0.19931004693858953,0.4776178682101433,eq,2018-09-01,2024-06-30
KONZ,0.754305421777445,114,0.36487788168855617,0.40745228175054576,0.23983789642876155,0.5294666088509663,eq,2018-09-01,2024-06-30
KONZ,0.8204270596739376,114,0.4402094010610266,0.4712462752678712,0.26076364639658617,0.6488624712917933,eq,2018-09-01,2024-06-30
KONZ,0.8769406179273963,114,0.5077809933669579,0.5474405788760284,0.3698591636517331,0.7334681536194122,eq,2018-09-01,2024-06-30
KONZ,0.9201412534703481,114,0.5909042265557717,0.6154834632387061,0.42386684880806147,0.8083374722735736,eq,2018-09-01,2024-06-30
KONZ,0.9462058786683456,114,0.7624610896342787,0.7264696099784558,0.5459357358599788,0.9155060842928054,eq,2018-09-01,2024-06-30
KONZ,0.9682498578748893,114,0.7427733579598775,0.7161710710369302,0.5780112988023834,0.8861090729106189,eq,2018-09-01,2024-06-30
KONZ,0.984190887492472,114,0.7361100848940691,0.7416039636093458,0.6236030099265748,0.8987770607288221,eq,2018-09-01,2024-06-30
SRER,0.4208342213986689,124,0.17310259343366055,0.23875005174086486,0.10470215212721615,0.3199706130882946,eq,2018-09-01,2024-06-30
SRER,0.5545614116205287,124,0.11781982364876117,0.18143275397053196,0.07771703328758364,0.2441263834825591,eq,2018-09-01,2024-06-30
SRER,0.615100998120003,124,0.10518917316284657,0.14068349998791074,0.06008423439026904,0.1895077756981593,eq,2018-09-01,2024-06-30
SRER,0.6605349564489713,124,0.10520580786454042,0.16002118239820262,0.057143589060225444,0.23570967927206155,eq,2018-09-01,2024-06-30
SRER,0.6965441373981089,124,0.10335062845688103,0.17242913278223043,0.05994583815192718,0.2594905419543436,eq,2018-09-01,2024-06-30
SRER,0.7269385050166768,124,0.11157280831825615,0.16574974744930332,0.06200620447668078,0.21766699509201431,eq,2018-09-01,2024-06-30
SRER,0.7546698534146159,124,0.1562768557927543,0.2152512608285047,0.09760807068783692,0.31023324824768556,eq,2018-09-01,2024-06-30
SRER,0.7829748112921819,124,0.21700135285126276,0.2799480061613907,0.12615405637893815,0.41695441517142307,eq,2018-09-01,2024-06-30
SRER,0.8228353728220194,124,0.3408163436363083,0.3557507944596563,0.22631676830174974,0.47579385247264255,eq,2018-09-01,2024-06-30
SRER,0.8908401233646374,124,0.4635854086302996,0.4797460762308184,0.3950874229552376,0.5779709396624615,eq,2018-09-01,2024-06-30
