definition_baseline,definition_alt,rs,x_base,x_alt,dx_total,dx_p0,dx_pa,dx_int,closure
PT_wetref,PT_dry,0.0,0.8050993524433163,0.8050993525513055,1.0798917315923973e-10,1.0798917315923973e-10,0.0,0.0,0.0
PT_wetref,PT_dry,1.0,0.8035831628563121,0.8037663036829065,0.00018314082659431907,0.00018314082659431907,0.0,0.0,0.0
PT_wetref,PT_dry,1.2663801734674032,0.8031828149175523,0.8034143176712416,0.0002315027536893277,0.0002315027536893277,0.0,0.0,0.0
PT_wetref,PT_dry,1.6037187437513303,0.8026779319553601,0.8029704267499206,0.000292494794560505,0.000292494794560505,0.0,0.0,0.0
PT_wetref,PT_dry,2.0309176209047357,0.8020419172391386,0.8024112490839693,0.00036933184483067816,0.00036933184483067816,0.0,0.0,0.0
PT_wetref,PT_dry,2.571913809059345,0.8012418185702171,0.8017078163820759,0.00046599781185874267,0.00046599781185874267,0.0,0.0,0.0
PT_wetref,PT_dry,3.257020655659783,0.800237047736491,0.8008244488889336,0.0005874011524426015,0.0005874011524426015,0.0,0.0,0.0
PT_wetref,PT_dry,4.1246263829013525,0.7989779929430271,0.7997175365589284,0.0007395436159013391,0.0007395436159013391,0.0,0.0,0.0
PT_wetref,PT_dry,5.223345074266842,0.7974045926631909,0.7983342870476423,0.0009296943844514516,0.0009296943844514516,0.0,0.0,0.0
PT_wetref,PT_dry,6.614740641230149,0.7954450356324448,0.7966115854273712,0.0011665497949263637,0.0011665497949263637,0.0,0.0,0.0
PT_wetref,PT_dry,8.376776400682918,0.793014829983684,0.7944751797766797,0.0014603497929956966,0.0014603497929956966,0.0,0.0,0.0
PT_wetref,PT_dry,10.608183551394482,0.7900166353043169,0.7918395390182584,0.0018229037139415594,0.0018229037139415594,0.0,0.0,0.0
PT_wetref,PT_dry,13.433993325989,0.7863413781182261,0.7886088413010278,0.002267463182801688,0.002267463182801688,0.0,0.0,0.0
PT_wetref,PT_dry,17.012542798525892,0.7818713436995036,0.7846797020838723,0.002808358384368659,0.002808358384368659,0.0,0.0,0.0
PT_wetref,PT_dry,21.544346900318832,0.7764860021066603,0.7799463080227734,0.0034603059161131267,0.0034603059161131267,0.0,0.0,0.0
PT_wetref,PT_dry,27.28333376486768,0.7700712466487512,0.7743085516492682,0.004237305000517,0.004237305000517,0.0,0.0,0.0
PT_wetref,PT_dry,34.55107294592218,0.7625323425152205,0.7676834258263228,0.005151083311102256,0.005151083311102256,0.0,0.0,0.0
PT_wetref,PT_dry,43.75479375074185,0.7538100942919471,0.7600192413840794,0.006209147092132272,0.006209147092132272,0.0,0.0,0.0
PT_wetref,PT_dry,55.41020330009492,0.7438985362716414,0.7513111704071084,0.007412634135467,0.007412634135467,0.0,0.0,0.0
PT_wetref,PT_dry,70.17038286703826,0.7328610521823857,0.7416153889266566,0.00875433674427084,0.00875433674427084,0.0,0.0,0.0
PT_wetref,PT_dry,88.86238162743403,0.7208407640405694,0.7310581574680646,0.01021739342749517,0.01021739342749517,0.0,0.0,0.0
PT_wetref,PT_dry,112.53355826007646,0.7080610047874729,0.7198361624983353,0.01177515771086235,0.01177515771086235,0.0,0.0,0.0
PT_wetref,PT_dry,142.5102670302998,0.6948132432177763,0.7082058174526633,0.013392574234887045,0.013392574234887045,0.0,0.0,0.0
PT_wetref,PT_dry,180.47217668271702,0.6814328490939253,0.6964618853167817,0.01502903622285634,0.01502903622285634,0.0,0.0,0.0
PT_wetref,PT_dry,228.54638641349908,0.6682666002830888,0.6849088767032677,0.016642276420178903,0.016642276420178903,0.0,0.0,0.0
PT_wetref,PT_dry,289.4266124716752,0.6556383512597532,0.6738308837335314,0.018192532473778167,0.018192532473778167,0.0,0.0,0.0
PT_wetref,PT_dry,366.5241237079626,0.6438197245838594,0.6634658831954399,0.019646158611580478,0.019646158611580478,0.0,0.0,0.0
PT_wetref,PT_dry,464.15888336127773,0.6330108720360271,0.6539889297050491,0.020978057669021943,0.020978057669021943,0.0,0.0,0.0
PT_wetref,PT_dry,587.8016072274912,0.6233332806981594,0.6455059480692001,0.022172667371040733,0.022172667371040733,0.0,0.0,0.0
PT_wetref,PT_dry,744.3803013251688,0.6148335414625953,0.6380571454718379,0.023223604009242615,0.023223604009242615,0.0,0.0,0.0
PT_wetref,PT_dry,942.6684551178854,0.6074949674503464,0.6316272886853989,0.02413232123505249,0.02413232123505249,0.0,0.0,0.0
PT_wetref,PT_dry,1193.7766417144358,0.6012532600712647,0.6261594984889002,0.024906238417635507,0.024906238417635507,0.0,0.0,0.0
PT_wetref,PT_dry,1511.7750706156614,0.5960128380823025,0.6215695920576442,0.02555675397534163,0.02555675397534163,0.0,0.0,0.0
PT_wetref,PT_dry,1914.4819761699575,0.5916614414417805,0.6177588862705007,0.02609744482872023,0.02609744482872023,0.0,0.0,0.0
PT_wetref,PT_dry,2424.462017082328,0.5880817517195576,0.6146243688810279,0.026542617161470328,0.026542617161470328,0.0,0.0,0.0
PT_wetref,PT_dry,3070.2906297578497,0.5851596971915275,0.61206595598227,0.026906258790742488,0.026906258790742488,0.0,0.0,0.0
PT_wetref,PT_dry,3888.155180308085,0.5827897227220804,0.6099910880449276,0.027201365322847226,0.027201365322847226,0.0,0.0,0.0
PT_wetref,PT_dry,4923.882631706737,0.5808776058259361,0.608317177990632,0.027439572164695947,0.027439572164695947,0.0,0.0,0.0
PT_wetref,PT_dry,6235.507341273912,0.5793414861392646,0.606972497670942,0.027631011531677352,0.027631011531677352,0.0,0.0,0.0
PT_wetref,PT_dry,7896.522868499725,0.578111698124176,0.6058960198307989,0.027784321706622928,0.027784321706622928,0.0,0.0,0.0
PT_wetref,PT_dry,10000.0,0.5771298990323979,0.6050366461574963,0.02790674712509844,0.02790674712509844,0.0,0.0,0.0
PT_wetref,ML_wetconst,0.0,0.8050993524433163,0.9999999999954639,0.19490064755214753,0.19490064755214753,0.0,0.0,0.0
PT_wetref,ML_wetconst,1.0,0.8035831628563121,0.9981167670970695,0.19453360424075739,0.19453360424075739,0.0,0.0,0.0
PT_wetref,ML_wetconst,1.2663801734674032,0.8031828149175523,0.9976195018371447,0.19443668691959237,0.19443668691959237,0.0,0.0,0.0
PT_wetref,ML_wetconst,1.6037187437513303,0.8026779319553601,0.9969923954301432,0.1943144634747831,0.1943144634747831,0.0,0.0,0.0
PT_wetref,ML_wetconst,2.0309176209047357,0.8020419172391386,0.9962024125363694,0.19416049529723078,0.19416049529723078,0.0,0.0,0.0
PT_wetref,ML_wetconst,2.571913809059345,0.8012418185702171,0.9952086237990047,0.1939668052287875,0.1939668052287875,0.0,0.0,0.0
PT_wetref,ML_wetconst,3.257020655659783,0.800237047736491,0.9939606153008331,0.19372356756434217,0.19372356756434217,0.0,0.0,0.0
PT_wetref,ML_wetconst,4.1246263829013525,0.7989779929430271,0.9923967650882636,0.1934187721452365,0.1934187721452365,0.0,0.0,0.0
PT_wetref,ML_wetconst,5.223345074266842,0.7974045926631909,0.9904424717764453,0.19303787911325443,0.19303787911325443,0.0,0.0,0.0
PT_wetref,ML_wetconst,6.614740641230149,0.7954450356324448,0.9880085398340208,0.19256350420157597,0.19256350420157597,0.0,0.0,0.0
PT_wetref,ML_wetconst,8.376776400682918,0.793014829983684,0.984990023372202,0.19197519338851798,0.19197519338851798,0.0,0.0,0.0
PT_wetref,ML_wetconst,10.608183551394482,0.7900166353043169,0.9812660175457725,0.1912493822414556,0.1912493822414556,0.0,0.0,0.0
PT_wetref,ML_wetconst,13.433993325989,0.7863413781182261,0.9767010440739637,0.1903596659557376,0.1903596659557376,0.0,0.0,0.0
