date,n_int,LE_obs_MJ_d,LE_pa_MJ_d,LE_p0_eq_MJ_d,LE_p0_PT_MJ_d,Rn_MJ_d,RnG_MJ_d,T_C,RH_pct,u_ms,p_kPa,r_a_s_m,expected_int,coverage,y,x_eq,x_PT,E_mm_d,Epa_mm_d,Ep0eq_mm_d,Ep0PT_mm_d,good_day
2019-06-01 00:00:00+00:00,36,5.00417083783508,0.0,9.504029461880284,11.975077121969157,12.899268,12.507130799999999,17.379361111111113,53.49638888888889,,96.88219194444444,,48,0.75,inf,inf,inf,2.0343721580446723,0.0,3.8637235923884234,4.868291726409413,False
2019-06-02 00:00:00+00:00,37,4.205130952515636,0.0,6.186384784918388,7.794844828997169,8.595,8.146728,15.132243243243243,86.59611111111111,,96.57974783783784,,48,0.7708333333333334,inf,inf,inf,1.7058409585249594,0.0,2.5095505158992237,3.1620336500330217,False
2019-06-03 00:00:00+00:00,38,6.627364770081603,0.0,8.890985541155677,11.202641781856155,13.778946000000001,13.4173932,12.247499999999999,60.134473684210526,,96.69598,,48,0.7916666666666666,inf,inf,inf,2.6810016252830886,0.0,3.596715664997765,4.531861737897184,False
2019-06-04 00:00:00+00:00,36,4.733127214917983,0.0,9.68982634499683,12.209181194696006,14.258934,14.172361800000001,11.077055555555555,51.305,,97.44238885714286,,48,0.75,inf,inf,inf,1.912569847070855,0.0,3.915481002154907,4.933506062715184,False
2019-06-05 00:00:00+00:00,37,0.10371541551703685,13.771921785575318,9.86423583902827,12.428937157175621,13.79457,13.4961966,16.98383783783784,58.873513513513515,2.33,96.99002459459459,8.802502306717228,48,0.7708333333333334,0.0075309326564480025,0.7162570331585858,0.9024838617798182,0.04214791709285163,5.596639754408703,4.008632586150173,5.0508770585492195,False
2019-06-06 00:00:00+00:00,38,7.634682566344605,27.72223424546001,10.890755430624058,13.722351842586313,16.168914,15.4611198,19.165394736842103,83.3892105263158,2.011315789473684,96.53022710526317,12.070993034976171,48,0.7916666666666666,0.27539925168891877,0.3928527309232879,0.4949944409633427,3.1091183099637676,11.28949440093511,4.435108706150525,5.588236969749663,False
2019-06-07 00:00:00+00:00,36,7.8866695526027435,50.34462071667958,12.48652215172494,15.733017911173425,16.482924,16.027915200000002,19.271194444444447,45.35888888888889,1.6194444444444445,97.15574333333333,15.261799713733504,48,0.75,0.1566536690580296,0.24802097967912695,0.3125064343957,3.2120644981389646,20.504240452543193,5.085481804616148,6.407707073816347,False
2019-06-08 00:00:00+00:00,37,8.13978302369789,54.93964079065114,12.558702496378285,15.82396514543664,16.811298,16.359792000000002,19.73208108108108,42.832432432432434,1.7183783783783784,97.80063756756758,13.628648376340514,48,0.7708333333333334,0.14815865023061825,0.22859091023608127,0.28802454689746243,3.316627433953064,22.385648281693477,5.117155716937081,6.447616203340722,False
2019-06-09 00:00:00+00:00,37,7.682953874403161,44.93660195497565,12.43138188898321,15.663541180118846,16.438104,16.06479,18.983648648648646,44.92567567567568,1.3097297297297297,98.40674621621622,18.158207595001095,48,0.7708333333333334,0.17097318311030987,0.27664267764257894,0.3485697738296495,3.1282273998203354,18.296596828299325,5.0616195383274425,6.377640618292578,False
2019-06-10 00:00:00+00:00,37,7.901442068255569,47.39084714494321,10.642152715755104,13.409112421851432,14.127191999999999,13.7564286,17.95072972972973,48.11675675675676,1.6770270270270269,98.04223243243244,16.273506354964695,48,0.7708333333333334,0.16672928517376553,0.22456135217854328,0.2829473037449646,3.21398454629661,19.276664821941687,4.328793917907784,5.454280336563808,False
2019-06-11 00:00:00+00:00,37,6.06378362055498,35.40870282468396,8.298597754039756,10.456233170090092,12.858228,12.3114942,17.67745945945946,84.75166666666667,3.0856756756756756,97.03558891891892,7.347352369215279,48,0.7708333333333334,0.17125122178516583,0.23436604823192433,0.29530122077222465,2.465850400077438,14.399023693803716,3.3746422815146233,4.252049274708425,False
2019-06-12 00:00:00+00:00,36,8.867646728996796,43.42579911592903,12.357585899999846,15.570558233999805,16.989012,16.7285166,15.93575,54.666111111111114,1.7025,97.81651416666666,12.535119691352305,48,0.75,0.20420226937733085,0.28456784104329713,0.35855547971455437,3.6000042821770863,17.62959977454949,5.016817146300947,6.321189604339192,False
2019-06-13 00:00:00+00:00,38,1.3590870500420038,12.060715465062428,2.0372485500364843,2.56693317304597,2.680578,2.4991764,10.691078947368421,84.89999999999999,1.8594736842105262,97.37058763157896,13.382550436651679,48,0.7916666666666666,0.11268710002976337,0.16891606106934545,0.21283423694737527,0.5489792110537561,4.871713008044022,0.8229105719790887,1.0368673206936518,False
2019-06-14 00:00:00+00:00,37,4.832322862852984,23.858668582461103,5.5878253304582595,7.040659916377407,8.79507,8.7194364,11.949675675675675,83.09878787878789,2.1948648648648645,96.73832945945946,12.895824871289305,48,0.7708333333333334,0.20253950240984125,0.23420524540778279,0.29509860921380626,1.9542861559614693,9.648913583321374,2.259826173700271,2.847380978862341,False
2019-06-15 00:00:00+00:00,36,8.515736621869742,52.853860583620346,12.044436535573096,15.175990034822101,16.271586,16.0745088,16.560138888888886,58.76694444444445,2.091666666666667,97.46228,13.074211953121436,48,0.75,0.1611185356724691,0.22788186903618016,0.287131154985587,3.4592172538724255,21.470014231661832,4.892626971344486,6.164709983894052,False
