regime,x,y
"Strong adjustment: shallow h, moderate ventilation",0.9999926685515014,0.9999896414262742
"Strong adjustment: shallow h, moderate ventilation",0.9999922179392299,0.9999890056796883
"Strong adjustment: shallow h, moderate ventilation",0.9999917403248088,0.999988330915319
"Strong adjustment: shallow h, moderate ventilation",0.9999912333972196,0.9999876147385859
"Strong adjustment: shallow h, moderate ventilation",0.999990695357986,0.9999868546079558
"Strong adjustment: shallow h, moderate ventilation",0.9999901242977558,0.9999860478259264
"Strong adjustment: shallow h, moderate ventilation",0.9999895181899972,0.9999851915294581
"Strong adjustment: shallow h, moderate ventilation",0.9999888748838204,0.999984282679814
"Strong adjustment: shallow h, moderate ventilation",0.9999881920963446,0.9999833180517815
"Strong adjustment: shallow h, moderate ventilation",0.9999874674045953,0.999982294222229
"Strong adjustment: shallow h, moderate ventilation",0.9999866982369131,0.9999812075579627
"Strong adjustment: shallow h, moderate ventilation",0.9999858818638275,0.9999800542028392
"Strong adjustment: shallow h, moderate ventilation",0.9999850153883812,0.9999788300640848
"Strong adjustment: shallow h, moderate ventilation",0.9999840967351078,0.9999775307977753
"Strong adjustment: shallow h, moderate ventilation",0.9999831207036627,0.9999761517934396
"Strong adjustment: shallow h, moderate ventilation",0.9999820847715606,0.9999746881576885
"Strong adjustment: shallow h, moderate ventilation",0.9999809852631155,0.9999731346968702
"Strong adjustment: shallow h, moderate ventilation",0.9999798182768131,0.9999714858986474
"Strong adjustment: shallow h, moderate ventilation",0.9999785796717482,0.9999697359124461
"Strong adjustment: shallow h, moderate ventilation",0.9999772650529248,0.9999678785287076
"Strong adjustment: shallow h, moderate ventilation",0.9999758697556893,0.999965907156868
"Strong adjustment: shallow h, moderate ventilation",0.9999743888291753,0.9999638148019855
"Strong adjustment: shallow h, moderate ventilation",0.9999728170187498,0.9999615940399387
"Strong adjustment: shallow h, moderate ventilation",0.9999711487473965,0.999959236991102
"Strong adjustment: shallow h, moderate ventilation",0.99996937809592,0.9999567352924071
"Strong adjustment: shallow h, moderate ventilation",0.9999674987819768,0.9999540800676939
"Strong adjustment: shallow h, moderate ventilation",0.9999655041377965,0.9999512618962432
"Strong adjustment: shallow h, moderate ventilation",0.9999633870865478,0.999948270779381
"Strong adjustment: shallow h, moderate ventilation",0.9999611401172561,0.9999450961050383
"Strong adjustment: shallow h, moderate ventilation",0.9999587552581801,0.9999417266101366
"Strong adjustment: shallow h, moderate ventilation",0.9999562240485569,0.9999381503406721
"Strong adjustment: shallow h, moderate ventilation",0.999953537508631,0.9999343546093529
"Strong adjustment: shallow h, moderate ventilation",0.9999506849889757,0.9999303259506539
"Strong adjustment: shallow h, moderate ventilation",0.9999476585436793,0.9999260500730646
"Strong adjustment: shallow h, moderate ventilation",0.9999444463824468,0.9999215118085196
"Strong adjustment: shallow h, moderate ventilation",0.9999410371110936,0.9999166950586287
"Strong adjustment: shallow h, moderate ventilation",0.9999374186365181,0.999911582737668
"Strong adjustment: shallow h, moderate ventilation",0.9999335781239559,0.9999061567120687
"Strong adjustment: shallow h, moderate ventilation",0.9999295019515636,0.9999003977362079
"Strong adjustment: shallow h, moderate ventilation",0.9999251756621633,0.9998942853842681
"Strong adjustment: shallow h, moderate ventilation",0.9999205839120936,0.9998877979779291
"Strong adjustment: shallow h, moderate ventilation",0.9999157104168819,0.999880912509639
"Strong adjustment: shallow h, moderate ventilation",0.999910537893623,0.9998736045611923
"Strong adjustment: shallow h, moderate ventilation",0.9999050479998348,0.9998658482173337
"Strong adjustment: shallow h, moderate ventilation",0.999899221268573,0.9998576159740805
"Strong adjustment: shallow h, moderate ventilation",0.9998930370395748,0.9998488786414411
"Strong adjustment: shallow h, moderate ventilation",0.9998864733862083,0.9998396052401995
"Strong adjustment: shallow h, moderate ventilation",0.9998795080215096,0.9998297628923707
"Strong adjustment: shallow h, moderate ventilation",0.9998721143418562,0.9998193167050686
"Strong adjustment: shallow h, moderate ventilation",0.9998642670642571,0.9998082296470997
"Strong adjustment: shallow h, moderate ventilation",0.9998559383729526,0.9997964624182121
"Strong adjustment: shallow h, moderate ventilation",0.9998470987479499,0.9997839733102857
"Strong adjustment: shallow h, moderate ventilation",0.9998377168608441,0.9997707180600761
"Strong adjustment: shallow h, moderate ventilation",0.9998277594642418,0.9997566496929872
"Strong adjustment: shallow h, moderate ventilation",0.9998171912744884,0.9997417183573342
"Strong adjustment: shallow h, moderate ventilation",0.9998059748472036,0.9997258711485151
"Strong adjustment: shallow h, moderate ventilation",0.9997940704452944,0.9997090519224875
"Strong adjustment: shallow h, moderate ventilation",0.9997814358989213,0.9996912010979062
"Strong adjustment: shallow h, moderate ventilation",0.9997680264569586,0.9996722554462347
"Strong adjustment: shallow h, moderate ventilation",0.9997537946294303,0.9996521478691137
"Strong adjustment: shallow h, moderate ventilation",0.9997386900204178,0.9996308071622173
"Strong adjustment: shallow h, moderate ventilation",0.9997226591507744,0.9996081577647887
"Strong adjustment: shallow h, moderate ventilation",0.9997056452701709,0.9995841194939976
"Strong adjustment: shallow h, moderate ventilation",0.9996875881576942,0.9995586072632141
"Strong adjustment: shallow h, moderate ventilation",0.9996684239104354,0.9995315307832348
"Strong adjustment: shallow h, moderate ventilation",0.9996480847192799,0.9995027942454539
"Strong adjustment: shallow h, moderate ventilation",0.9996264986311498,0.9994722959858948
"Strong adjustment: shallow h, moderate ventilation",0.9996035881407328,0.9994399281290797
"Strong adjustment: shallow h, moderate ventilation",0.9995792744782485,0.9994055762099426
"Strong adjustment: shallow h, moderate ventilation",0.9995534705939988,0.999369118773952
"Strong adjustment: shallow h, moderate ventilation",0.9995260852815974,0.9993304269522374
"Strong adjustment: shallow h, moderate ventilation",0.9994970217691511,0.9992893640116791
"Strong adjustment: shallow h, moderate ventilation",0.9994661773817649,0.9992457848779218
"Strong adjustment: shallow h, moderate ventilation",0.9994334431838277,0.9991995356298347
"Strong adjustment: shallow h, moderate ventilation",0.9993987035999286,0.999150452963749
"Strong adjustment: shallow h, moderate ventilation",0.9993618360131601,0.9990983636257189
"Strong adjustment: shallow h, moderate ventilation",0.9993227103394745,0.99904308380996
"Strong adjustment: shallow h, moderate ventilation",0.9992811885767857,0.9989844185215195
"Strong adjustment: shallow h, moderate ventilation",0.9992371243272717,0.9989221609011183
"Strong adjustment: shallow h, moderate ventilation",0.9991903622914462,0.9988560915100186
"Strong adjustment: shallow h, moderate ventilation",0.9991407386172839,0.9987859775725374
"Strong adjustment: shallow h, moderate ventilation",0.9990880768451434,0.998711572174397
"Strong adjustment: shallow h, moderate ventilation",0.9990321924632938,0.9986326134129969
"Strong adjustment: shallow h, moderate ventilation",0.9989728888828776,0.9985488234988116
"Strong adjustment: shallow h, moderate ventilation",0.9989099576004398,0.9984599078037967
"Strong adjustment: shallow h, moderate ventilation",0.9988431774856752,0.9983655538544408
"Strong adjustment: shallow h, moderate ventilation",0.9987723140278281,0.9982654302663391
"Strong adjustment: shallow h, moderate ventilation",0.9986971185385296,0.9981591856171166
"Strong adjustment: shallow h, moderate ventilation",0.9986173273087143,0.9980464472543835
"Strong adjustment: shallow h, moderate ventilation",0.998532660717202,0.9979268200352589
"Strong adjustment: shallow h, moderate ventilation",0.9984428222883389,0.9977998849938507
"Strong adjustment: shallow h, moderate ventilation",0.9983474976961297,0.9976651979329332
"Strong adjustment: shallow h, moderate ventilation",0.9982463537120422,0.9975222879359085
"Strong adjustment: shallow h, moderate ventilation",0.9981390370936406,0.9973706557950027
"Strong adjustment: shallow h, moderate ventilation",0.9980251734111208,0.9972097723514779
"Strong adjustment: shallow h, moderate ventilation",0.9979043658086217,0.9970390767435227
"Strong adjustment: shallow h, moderate ventilation",0.997776193697239,0.9968579745573295
"Strong adjustment: shallow h, moderate ventilation",0.9976402113764093,0.9966658358767398
"Strong adjustment: shallow h, moderate ventilation",0.9974959465804157,0.9964619932267172
"Strong adjustment: shallow h, moderate ventilation",0.9973428989465304,0.9962457394057949
"Strong adjustment: shallow h, moderate ventilation",0.9971805384013991,0.9960163252025478
"Strong adjustment: shallow h, moderate ventilation",0.9970083034620675,0.9957729569910669
"Strong adjustment: shallow h, moderate ventilation",0.9968255994481787,0.9955147942003448
"Strong adjustment: shallow h, moderate ventilation",0.996631796601671,0.9952409466524588
"Strong adjustment: shallow h, moderate ventilation",0.996426228110475,0.9949504717644405
"Strong adjustment: shallow h, moderate ventilation",0.9962081880326507,0.9946423716087408
"Strong adjustment: shallow h, moderate ventilation",0.9959769291174667,0.9943155898272965
"Strong adjustment: shallow h, moderate ventilation",0.9957316605200571,0.993969008394317
"Strong adjustment: shallow h, moderate ventilation",0.9954715454064221,0.9936014442230987
"Strong adjustment: shallow h, moderate ventilation",0.9951956984456866,0.9932116456124266
"Strong adjustment: shallow h, moderate ventilation",0.994903181632514,0.9927982885307668
"Strong adjustment: shallow h, moderate ventilation",0.994593007692247,0.9923599727208435
"Strong adjustment: shallow h, moderate ventilation",0.9942641281041781,0.9918952176550002
"Strong adjustment: shallow h, moderate ventilation",0.9939154367505937,0.9914024582948263
"Strong adjustment: shallow h, moderate ventilation",0.9935457628541385,0.9908800406853437
"Strong adjustment: shallow h, moderate ventilation",0.9931538714157548,0.9903262173706356
"Strong adjustment: shallow h, moderate ventilation",0.9927384574411863,0.9897391426323864
"Strong adjustment: shallow h, moderate ventilation",0.9922981430641862,0.9891168675530996
"Strong adjustment: shallow h, moderate ventilation",0.9918314739508923,0.9884573349065314
